Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-31 04:00:00-05:00,192.23,193.7,192.23,193.66,0,0.0,0.0
2024-12-31 05:00:00-05:00,193.46,193.79,193.46,193.57,0,0.0,0.0
2024-12-31 06:00:00-05:00,193.57,193.85,193.53,193.65,0,0.0,0.0
2024-12-31 07:00:00-05:00,193.74,193.97,193.54,193.65,0,0.0,0.0
2024-12-31 08:00:00-05:00,193.67,194.0,192.0212,193.33,0,0.0,0.0
2024-12-31 09:00:00-05:00,193.33,193.55,192.09,192.34,0,0.0,0.0
2024-12-31 09:30:00-05:00,193.07510375976562,193.2364959716797,191.9199981689453,192.52000427246094,2593360,0.0,0.0
2024-12-31 10:30:00-05:00,192.52000427246094,192.8000030517578,191.74000549316406,191.85989379882812,727067,0.0,0.0
2024-12-31 11:30:00-05:00,191.8300018310547,192.35000610351562,191.49000549316406,191.57000732421875,830836,0.0,0.0
2024-12-31 12:30:00-05:00,191.55499267578125,191.77000427246094,190.75999450683594,190.78500366210938,1241138,0.0,0.0
2024-12-31 13:30:00-05:00,190.77000427246094,191.50999450683594,190.63999938964844,190.75010681152344,1184376,0.0,0.0
2024-12-31 14:30:00-05:00,190.77499389648438,191.49000549316406,190.55999755859375,191.47999572753906,1192203,0.0,0.0
2024-12-31 15:30:00-05:00,191.47000122070312,191.6199951171875,189.5800018310547,190.44000244140625,3188181,0.0,0.0
2024-12-31 16:00:00-05:00,190.44,211.9495,176.0053,190.76,0,0.0,0.0
2024-12-31 17:00:00-05:00,190.75,190.85,169.43,190.77,0,0.0,0.0
2024-12-31 18:00:00-05:00,190.75,190.84,190.53,190.55,0,0.0,0.0
