Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-07 04:00:00-05:00,411.05,413.3,407.81,409.36,0,0.0,0.0
2025-01-07 05:00:00-05:00,409.23,410.78,408.42,409.43,0,0.0,0.0
2025-01-07 06:00:00-05:00,409.54,410.5,402.5,404.09,0,0.0,0.0
2025-01-07 07:00:00-05:00,404.02,405.66,402.22,403.8,0,0.0,0.0
2025-01-07 08:00:00-05:00,403.74,412.7642,385.085,403.15,0,0.0,0.0
2025-01-07 09:00:00-05:00,403.22,451.9196,380.12,405.82,0,0.0,0.0
2025-01-07 09:30:00-05:00,405.80999755859375,414.3299865722656,395.3800048828125,397.4100036621094,25285355,0.0,0.0
2025-01-07 10:30:00-05:00,393.9100036621094,400.0899963378906,391.20001220703125,398.79998779296875,13628310,0.0,0.0
2025-01-07 11:30:00-05:00,398.6300048828125,411.04998779296875,392.6499938964844,394.2200012207031,6701324,0.0,0.0
2025-01-07 12:30:00-05:00,394.17999267578125,398.95001220703125,392.9100036621094,398.4800109863281,5324015,0.0,0.0
2025-01-07 13:30:00-05:00,398.42291259765625,398.7398986816406,392.7200012207031,393.7099914550781,4972332,0.0,0.0
2025-01-07 14:30:00-05:00,393.6549987792969,394.6600036621094,390.7099914550781,391.07000732421875,6227239,0.0,0.0
2025-01-07 15:30:00-05:00,391.1600036621094,394.6199951171875,390.010009765625,394.5899963378906,7248405,0.0,0.0
2025-01-07 16:00:00-05:00,394.64,397.5,393.73,394.92,0,0.0,0.0
2025-01-07 17:00:00-05:00,394.92,409.9255,383.2558,394.32,0,0.0,0.0
2025-01-07 18:00:00-05:00,394.235,394.98,393.26,394.5,0,0.0,0.0
